time,value
1732463712331741395,1
1732463713329915435,1
1732463714331514371,1
1732463715332528984,1
1732463716331062006,1
1732463717330820163,1
1732463718337311406,1
1732463719330980874,1
1732463720330402074,1
1732463721345460344,1
1732463722334283491,1
1732463723331110907,1
1732463724331604630,1
1732463725332040083,1
1732463726331417461,1
1732463727352190183,1
1732463728332977494,1
1732463729333965859,1
1732463730332405496,1
1732463731337520708,1
1732463732334834912,1
1732463733332531913,1
1732463734334193344,1
1732463735340407199,1
1732463736334080052,1
1732463737332922119,1
1732463738332898455,1
1732463739333404101,1
1732463740333318372,1
1732463741409116445,1
1732463742333235214,1
1732463743334648863,1
1732463744333282331,1
1732463745331720575,1
1732463746333744784,1
1732463747333664342,1
1732463748343308491,1
1732463749333864766,1
1732463750333848433,1
1732463751333011571,1
1732463752337236682,1
1732463753334411396,1
1732463754334698291,1
1732463755334302292,1
1732463756330517684,1
1732463757354771957,1
1732463758340566570,1
1732463759339472196,1
1732463760339806521,1
1732463761349479684,1
1732463762341193499,1
1732463763339105512,1
1732463764339064674,1
1732463765341759857,1
1732463766339028857,1
1732463767340431925,1
1732463768341449705,1
1732463769339549948,1
1732463770339469789,1
1732463771342101453,1
1732463772338266240,1
1732463773339518147,1
1732463774340928470,1
1732463775338492742,1
1732463776339492919,1
1732463777339016430,1
1732463778345937314,1
1732463779338852434,1
1732463780339726628,1
1732463781347423320,1
1732463782444750620,1
1732463783341556185,1
1732463784338854810,1
1732463785340083073,1
1732463786339074449,1
1732463787359235979,1
1732463788339802790,1
1732463789342998447,1
1732463790353930912,1
1732463791341774662,1
1732463792340087471,1
1732463793341620435,1
1732463794341264419,1
1732463795344185897,1
1732463796339290736,1
1732463797339117182,1
1732463798340402171,1
1732463799341559783,1
1732463800340292817,1
1732463801347324707,1
1732463802341356229,1
1732463803331447877,1
1732463804339448596,1
1732463805338566600,1
1732463806338591196,1
1732463807341096333,1
1732463808349556982,1
1732463809338227496,1
1732463810338496860,1
1732463811342271698,1
1732463812343663879,1
1732463813341031384,1
1732463814338703376,1
1732463815343789974,1
1732463816341295166,1
1732463817362560185,1
1732463818344227048,1
1732463819343955159,1
1732463820346673044,1
1732463821354543240,1
1732463822346761468,1
1732463823445113829,1
1732463824343718335,1
1732463825347590757,1
1732463826345907382,1
1732463827352062685,1
1732463828343384580,1
1732463829346157628,1
1732463830343530662,1
1732463831339330368,1
1732463832347196447,1
1732463833346808453,1
1732463834346481503,1
1732463835346117024,1
1732463836381868717,1
1732463837347061358,1
1732463838352357117,1
1732463839346924332,1
1732463840346562926,1
1732463841346338576,1
1732463842348849731,1
1732463843348981720,1
1732463844346878593,1
1732463845347338932,1
1732463846346663502,1
1732463847363342579,1
1732463848347434923,1
1732463849347929517,1
1732463850348805433,1
1732463851355915350,1
1732463852347990633,1
1732463853347696433,1
1732463854350493587,1
1732463855351018545,1
1732463856348226984,1
1732463857347614780,1
1732463858420598511,1
1732463859349459767,1
1732463860348826114,1
1732463861347900965,1
1732463862346504699,1
1732463863337723681,1
1732463864347286309,1
1732463865347819312,1
1732463866347435166,1
1732463867347570569,1
1732463868355358462,1
1732463869347529791,1
1732463870347254577,1
1732463871350716191,1
1732463872348749137,1
1732463873346896187,1
1732463874348811815,1
1732463875346882481,1
1732463876347731267,1
1732463877367197848,1
1732463878354929849,1
1732463879354928837,1
1732463880355400508,1
1732463881359799573,1
1732463882355180837,1
1732463883354824182,1
1732463884354201059,1
1732463885355078949,1
1732463886360486119,1
1732463887354894485,1
1732463888354163161,1
1732463889353668027,1
1732463890354452402,1
1732463891354569592,1
1732463892356023618,1
1732463893363353987,1
1732463894353806338,1
1732463895352040269,1
1732463896353190478,1
1732463897353251843,1
1732463898359651843,1
1732463899446735914,1
1732463900355022006,1
1732463901354690006,1
1732463902353933423,1
1732463903357279450,1
1732463904354219827,1
1732463905353428408,1
1732463906354899713,1
1732463907368507637,1
1732463908355167975,1
1732463909343857995,1
1732463910354976177,1
1732463911352535139,1
1732463912352436886,1
1732463913355068429,1
1732463914353252851,1
1732463915355100419,1
1732463916354795790,1
1732463917353110733,1
1732463918384040632,1
1732463919353112788,1
1732463920354220829,1
1732463921352284762,1
1732463922352435473,1
1732463923345123287,1
1732463924354417273,1
1732463925344461581,1
1732463926351783374,1
1732463927352326839,1
1732463928373222118,1
1732463929359644614,1
1732463930353726714,1
1732463931354825827,1
1732463932355554489,1
1732463933355174199,1
1732463934356558413,1
1732463935353403199,1
1732463936355347670,1
1732463937361963533,1
1732463938354480580,1
1732463939353801852,1
1732463940477486550,1
1732463941354655086,1
1732463942354986475,1
1732463943365304523,1
1732463944354088239,1
1732463945360869531,1
1732463946354652232,1
1732463947353890329,1
1732463948381208624,1
1732463949355332162,1
1732463950357706746,1
1732463951354708106,1
1732463952354724968,1
1732463953354529624,1
1732463954355286449,1
1732463955354727995,1
1732463956354755026,1
1732463957354350530,1
1732463958355861420,1
1732463959357991667,1
1732463960354151827,1
1732463961375940136,1
1732463962357990217,1
1732463963355491380,1
